iter	Passed	Remaining
1575	30583	8228
1576	30604	8209
1577	30623	8189
1578	30643	8170
1579	30661	8150
1580	30680	8130
1581	30699	8111
1582	30719	8092
1583	30737	8072
1584	30756	8053
1585	30775	8033
1586	30795	8014
1587	30812	7994
1588	30831	7974
1589	30849	7954
1590	30867	7935
1591	30885	7915
1592	30902	7895
1593	30919	7875
1594	30937	7855
1595	30955	7835
1596	30974	7816
1597	30993	7796
1598	31031	7782
1599	31055	7763
1600	31077	7745
1601	31095	7725
1602	31114	7705
1603	31134	7686
1604	31153	7667
1605	31171	7647
1606	31192	7628
1607	31211	7608
1608	31226	7588
1609	31244	7568
1610	31261	7548
1611	31278	7528
1612	31294	7508
1613	31311	7488
1614	31328	7468
1615	31347	7448
1616	31365	7429
1617	31382	7409
1618	31400	7389
1619	31417	7369
1620	31435	7349
1621	31454	7330
1622	31474	7311
1623	31494	7291
1624	31513	7272
1625	31534	7253
1626	31554	7234
1627	31573	7214
1628	31592	7195
1629	31612	7175
1630	31631	7156
1631	31649	7136
1632	31668	7117
1633	31688	7097
1634	31706	7078
1635	31726	7058
1636	31745	7039
1637	31766	7020
1638	31789	7001
1639	31806	6981
1640	31825	6962
1641	31845	6943
1642	31864	6923
1643	31884	6904
1644	31903	6885
1645	31922	6865
1646	31940	6845
1647	31958	6826
1648	31976	6806
1649	31996	6787
1650	32015	6767
1651	32036	6748
1652	32055	6729
1653	32072	6709
1654	32092	6689
1655	32111	6670
1656	32129	6650
1657	32148	6631
1658	32168	6612
1659	32188	6592
1660	32206	6573
1661	32226	6553
1662	32246	6534
1663	32266	6515
1664	32285	6495
1665	32303	6476
